"RBD","NOMBRE_ESTA","DEPENDENCIA","SOSTENEDOR","REGION","COMUNA","DIRECCION","TELEFONO","E-MAIL","Discapacidad Auditiva","Discapacidad Intelectual","Discapacidad Visual","Trastornos Específicos del Lenguaje","Trastornos Motores","Autismo","Graves Alteraciones en la Capacidad de Relación y Comunicación"
30,"ESCUELA DR. RICARDO OLEA GUERRA","Municipal Daem","Ilustre Municipalidad De Arica",15,"ARICA","BALMACEDA N° 2480","58 - 2222419","escuela.especial@sermearica.cl","no","si","no","no","si","si","no"
102,"ESC.EDUC.ESPECIAL FLOR DEL INCA","Municipal Corporación","Corp.Munic.Desarrollo Social De Iquique",1,"IQUIQUE","PEDRO AGUIRRE CERDA N° 2098","57 - 544781","flordelinca@cormudesi.cl","no","si","no","no","no","si","no"
105,"CENTRO DE CAPACITACION LABORAL","Municipal Corporación","Corp.Munic.Desarrollo Social De Iquique",1,"IQUIQUE","JOSE FRANCISCO VERGARA N° 2877","57 - 544777","claboral@cormudesi.cl","no","si","no","no","no","no","no"
117,"ESCUELA PAULA JARAQUEMADA ALQUIZAR","Municipal Corporación","Corp.Munic.Desarrollo Social De Iquique",1,"IQUIQUE","ORELLA N° 960","57 - 544764","ani_gonza4@hotmail.com","no","no","no","si","no","no","no"
119,"ESCUELA CENTENARIO","Municipal Corporación","Corp.Munic.Desarrollo Social De Iquique",1,"IQUIQUE","SERRANO  N° 998","57 - 2544768","escuela_centenarioiquique@hotmail.com","no","no","no","si","no","no","no"
207,"ESC. ESPECIAL PEDRO AGUIRRE CERDA","Municipal Daem","Ilustre Municipalidad De Tocopilla",2,"TOCOPILLA","GOMEZ CARRENO  S/N","55 - 426414","valera10@hotmail.com","no","si","no","no","no","no","no"
238,"ESCUELA DIFERENCIAL LOA","Municipal Corporación","Corp.Municipal De Des.Social De Calama",2,"CALAMA","CHORRILLO. POBLACION ENTRE RIOS N° 1335","55 - 2311347","f33.diferencialelloa@comdescalama.cl","no","si","no","no","no","no","no"
311,"ESC  DIFERENCIAL JUAN SANDOVAL CARRASCO","Municipal Corporación","Corp Munic Desarrollo Social Antofagasta",2,"ANTOFAGASTA","GENERAL BORGONO  N° 876","55 - 247802","direccion.jsc@gmail.com","no","si","no","no","no","si","no"
340,"CENTRO TRATAMIEN.INTEGRAL RAYITO DE SOL","Particular Subvencionado","Fundacion Educacion Coanil",2,"ANTOFAGASTA","PEDRO LEON GALLO N° 707","55 - 2241138","falvarez@coanil.cl","no","si","no","no","no","no","no"
383,"ESC. BAS. DIFERENCIAL JOSE LUIS OLIVARES A.","Municipal Daem","Ilustre Municipalidad De Chanaral",3,"CHAÑARAL","AVDA.ARTURO PRAT N° 1594","52 - 480372","ectolmo@hotmail.com","no","si","no","si","no","no","no"
404,"ESC.EDUC.DIFERENCIAL MARIA LUZ LANZA PIZARRO","Municipal Daem","Ilustre Municipalidad De Copiapo",3,"COPIAPÓ","LOS HEROES  N° 454","52 - 219084","esdiferenciales13@yahoo.es","no","si","no","no","no","no","no"
456,"ESC. EDUC.DIFERENC LUIS IRIARTE IRIARTE","Municipal Daem","Ilustre Municipalidad De Vallenar",3,"VALLENAR","ARTURO PRAT N° 2802","51 - 2614608","teresa.noemi@daemvallenar.cl","no","si","no","no","no","no","no"
529,"COLEGIO MANUEL RODRIGUEZ","Municipal Corporación","Corporacion Municipal Gabriel Gonzalez Videla",4,"LA SERENA","JUANA ROSS DE EDWARDS S/N POBLACIÓN OSCAR PRAGUER","9 - 92631279","colegiomanuelrodriguez@corporacionggv.cl","si","si","no","no","no","no","no"
537,"COLEGIO LUIS BRAILLE","Municipal Corporación","Corporacion Municipal Gabriel Gonzalez Videla",4,"LA SERENA","CUATRO ESQUINAS S/N","51 - 2547464","colegioluisbraille@corporacionggv.cl","no","no","si","no","no","no","no"
544,"ESCUELA DE EL MILAGRO","Municipal Corporación","Corporacion Municipal Gabriel Gonzalez Videla",4,"LA SERENA","CUATRO ESQUINAS N° 4605  SECTOR EL MILAGRO","51 - 298109","anamaria.francosilva@gmail.com","no","no","no","no","no","si","no"
571,"ESC.ESPEC.LOS PENSAMIENTOS DE JUAN XXIII","Particular Subvencionado","Fundacion Educacion Coanil",4,"LA SERENA","BALMACEDA 4320 PARADERO 9 DE LA PAMPA","51 - 2230129","uelospensamientos@coanil.cl","no","si","no","no","no","no","no"
623,"CENTRO LABORAL JEAN PIAGET","Municipal Daem","Ilustre Municipalidad De Coquimbo",4,"COQUIMBO","MIRAFLORES N° 525 B","51 - 2314914","claboral_jpiaget@hotmail.com","no","si","no","no","no","no","no"
624,"ESCUELA DIFERENCIAL JUAN SANDOVAL C.","Municipal Daem","Ilustre Municipalidad De Coquimbo",4,"COQUIMBO","SANTA ELENA N° 385","51 - 2322023","escuelajusan@gmail.com","no","si","no","no","no","no","no"
